id,Pdx,Sdx,number_of_patient
1,I00,A400,1
2,I00,I020,1
3,I00,I061,1
4,I00,I514,1
5,I00,L508,1
6,I00,M2556,1
7,I00,M2557,1
8,I011,E871,1
9,I011,E876,1
10,I011,I500,1
11,I019,D509,1
12,I019,E871,1
13,I019,I050,1
14,I019,I071,1
15,I019,I350,1
16,I019,I500,1
17,I019,N922,1
18,I050,B029,1
19,I050,B182,1
20,I050,B24,1
21,I050,C187,1
22,I050,C509,1
23,I050,C793,1
24,I050,D569,1
25,I050,D65,1
26,I050,D689,3
27,I050,E059,1
28,I050,E113,1
29,I050,E119,9
30,I050,E149,1
31,I050,E213,1
32,I050,E46,1
33,I050,E785,1
34,I050,E789,14
35,I050,E834,2
36,I050,E871,1
37,I050,E872,1
38,I050,E875,2
39,I050,E876,1
40,I050,E877,1
41,I050,G459,1
42,I050,G460,1
43,I050,G819,1
44,I050,H3602,1
45,I050,I062,1
46,I050,I071,8
47,I050,I081,1
48,I050,I10,14
49,I050,I236,1
50,I050,I251,1
51,I050,I272,1
52,I050,I340,1
53,I050,I350,4
54,I050,I351,2
55,I050,I361,1
56,I050,I420,1
57,I050,I442,1
58,I050,I48,37
59,I050,I500,3
60,I050,I509,1
61,I050,I513,2
62,I050,I635,1
63,I050,I693,1
64,I050,I694,8
65,I050,I959,1
66,I050,I970,1
67,I050,J156,1
68,I050,J40,1
69,I050,J449,1
70,I050,J459,1
71,I050,J960,1
72,I050,K029,2
73,I050,K219,3
74,I050,K703,1
75,I050,K859,1
76,I050,L509,1
77,I050,N179,2
78,I050,N185,3
79,I050,N390,2
80,I050,N40,3
81,I050,N858,1
82,I050,Q211,1
83,I050,Q240,1
84,I050,R570,1
85,I050,R572,1
86,I050,R731,1
87,I051,E834,1
88,I051,E876,1
89,I051,I060,1
90,I051,I071,2
91,I051,I251,1
92,I051,I48,2
93,I051,I500,1
94,I051,J459,1
95,I051,N189,1
96,I051,N390,1
97,I052,D689,1
98,I052,E119,1
99,I052,E789,1
100,I052,I071,3
101,I052,I10,3
102,I052,I251,1
103,I052,I270,2
104,I052,I48,5
105,I052,I500,1
106,I052,J459,1
107,I052,Q242,1
108,I060,D683,1
109,I060,E039,2
110,I060,I050,1
111,I060,I071,1
112,I060,I251,1
113,I060,I460,1
114,I060,I48,1
115,I060,I499,1
116,I060,I500,1
117,I060,K703,1
118,I060,M1099,2
119,I060,N183,1
120,I061,I050,1
121,I061,M314,1
122,I071,A410,1
123,I071,B182,1
124,I071,D509,1
125,I071,D638,1
126,I071,E119,1
127,I071,E162,1
128,I071,I050,1
129,I071,I10,1
130,I071,I251,1
131,I071,I269,1
132,I071,I272,1
133,I071,I340,2
134,I071,I370,1
135,I071,I48,4
136,I071,I495,1
137,I071,I500,2
138,I071,I959,1
139,I071,J90,1
140,I071,J981,1
141,I071,K729,1
142,I071,N179,1
143,I071,N185,1
144,I071,Q211,1
145,I071,R570,1
146,I071,R572,1
147,I071,R739,1
148,I071,T820,1
149,I099,D508,1
150,I099,D509,1
151,I099,E559,1
152,I099,E871,1
153,I099,F329,1
154,I099,F432,1
155,I099,G255,1
156,I099,I071,1
157,I099,I340,1
158,I099,I48,1
159,I10,A410,1
160,I10,A419,1
161,I10,B378,1
162,I10,B909,1
163,I10,B962,1
164,I10,C20,1
165,I10,C509,1
166,I10,D350,1
167,I10,D509,5
168,I10,D638,6
169,I10,D649,2
170,I10,D692,1
171,I10,D696,1
172,I10,E039,1
173,I10,E042,1
174,I10,E049,1
175,I10,E063,1
176,I10,E112,2
177,I10,E113,1
178,I10,E117,2
179,I10,E119,19
180,I10,E149,2
181,I10,E162,1
182,I10,E208,1
183,I10,E249,1
184,I10,E260,1
185,I10,E269,1
