dx,TERM,CHAPTER,BLOCK
I00,Rheumatic fever without mention of heart involvement,Diseases of the circulatory system,Acute rheumatic fever
I011,Acute rheumatic endocarditis,Diseases of the circulatory system,Acute rheumatic fever
I019,"Acute rheumatic heart disease, unspecified",Diseases of the circulatory system,Acute rheumatic fever
I050,Mitral stenosis,Diseases of the circulatory system,Chronic rheumatic heart diseases
I051,Rheumatic mitral insufficiency,Diseases of the circulatory system,Chronic rheumatic heart diseases
I052,Mitral stenosis with insufficiency,Diseases of the circulatory system,Chronic rheumatic heart diseases
I060,Rheumatic aortic stenosis,Diseases of the circulatory system,Chronic rheumatic heart diseases
I061,Rheumatic aortic insufficiency,Diseases of the circulatory system,Chronic rheumatic heart diseases
I071,Tricuspid insufficiency,Diseases of the circulatory system,Chronic rheumatic heart diseases
I099,"Rheumatic heart disease, unspecified",Diseases of the circulatory system,Chronic rheumatic heart diseases
I10,Essential (primary) hypertension,Diseases of the circulatory system,Hypertensive diseases
I110,Hypertensive heart disease with (congestive) heart failure,Diseases of the circulatory system,Hypertensive diseases
I119,Hypertensive heart disease without (congestive) heart failure,Diseases of the circulatory system,Hypertensive diseases
I129,Hypertensive renal disease without renal failure,Diseases of the circulatory system,Hypertensive diseases
I130,Hypertensive heart and renal disease with (congestive) heart failure,Diseases of the circulatory system,Hypertensive diseases
I139,"Hypertensive heart and renal disease, unspecified",Diseases of the circulatory system,Hypertensive diseases
I151,Hypertension secondary to other renal disorders,Diseases of the circulatory system,Hypertensive diseases
I159,"Secondary hypertension, unspecified",Diseases of the circulatory system,Hypertensive diseases
I200,Unstable angina,Diseases of the circulatory system,Ischaemic heart diseases
I201,Angina pectoris with documented spasm,Diseases of the circulatory system,Ischaemic heart diseases
I208,Other forms of angina pectoris,Diseases of the circulatory system,Ischaemic heart diseases
I209,"Angina pectoris, unspecified",Diseases of the circulatory system,Ischaemic heart diseases
I210,Acute transmural myocardial infarction of anterior wall,Diseases of the circulatory system,Ischaemic heart diseases
I211,Acute transmural myocardial infarction of inferior wall,Diseases of the circulatory system,Ischaemic heart diseases
I212,Acute transmural myocardial infarction of other sites,Diseases of the circulatory system,Ischaemic heart diseases
I213,Acute transmural myocardial infarction of unspecified site,Diseases of the circulatory system,Ischaemic heart diseases
I214,Acute subendocardial myocardial infarction,Diseases of the circulatory system,Ischaemic heart diseases
I219,"Acute myocardial infarction, unspecified",Diseases of the circulatory system,Ischaemic heart diseases
I220,Subsequent myocardial infarction of anterior wall,Diseases of the circulatory system,Ischaemic heart diseases
I221,Subsequent myocardial infarction of inferior wall,Diseases of the circulatory system,Ischaemic heart diseases
I228,Subsequent myocardial infarction of other sites,Diseases of the circulatory system,Ischaemic heart diseases
I229,Subsequent myocardial infarction of unspecified site,Diseases of the circulatory system,Ischaemic heart diseases
I233,Rupture of cardiac wall without haemopericardium as current complication following acute myocardial infarction,Diseases of the circulatory system,Ischaemic heart diseases
I236,"Thrombosis of atrium, auricular appendage, and ventricle as current complication following acute myocardial infarction",Diseases of the circulatory system,Ischaemic heart diseases
I241,Dressler's syndrome,Diseases of the circulatory system,Ischaemic heart diseases
I249,"Acute ischaemic heart disease, unspecified",Diseases of the circulatory system,Ischaemic heart diseases
I251,Atherosclerotic heart disease,Diseases of the circulatory system,Ischaemic heart diseases
I252,Old myocardial infarction,Diseases of the circulatory system,Ischaemic heart diseases
I254,Coronary artery aneurysm,Diseases of the circulatory system,Ischaemic heart diseases
I255,Ischaemic cardiomyopathy,Diseases of the circulatory system,Ischaemic heart diseases
I260,Pulmonary embolism with mention of acute cor pulmonale NOS,Diseases of the circulatory system,Pulmonary heart disease and diseases of pulmonary circulation
I269,Pulmonary embolism without mention of acute cor pulmonale,Diseases of the circulatory system,Pulmonary heart disease and diseases of pulmonary circulation
I270,Primary pulmonary hypertension,Diseases of the circulatory system,Pulmonary heart disease and diseases of pulmonary circulation
I272,Other secondary pulmonary hypertension,Diseases of the circulatory system,Pulmonary heart disease and diseases of pulmonary circulation
I279,"Pulmonary heart disease, unspecified",Diseases of the circulatory system,Pulmonary heart disease and diseases of pulmonary circulation
